metal,shape,height,length,width,weight
silver,box,8,3,7,1762.32
tin,sphere,1,1,1,3.83
gold,sphere,5,5,5,1264.49
tin,box,7,10,4,2046.8
tin,box,2,3,1,43.86
silver,cylinder,7,8,8,3690.99
silver,cylinder,6,5,5,1235.82
gold,box,5,8,3,2318.4
gold,cylinder,2,4,4,485.56
silver,sphere,4,4,4,351.52
gold,sphere,3,3,3,273.13
platinum,cylinder,2,4,4,530.05
gold,box,2,6,10,2318.4
silver,box,3,8,1,251.76
platinum,box,2,2,6,506.16
silver,box,10,10,8,8392.0
silver,cylinder,9,3,3,667.34
gold,sphere,7,7,7,3469.76
platinum,cylinder,3,3,3,447.23
gold,cylinder,2,7,7,1487.04
silver,box,2,7,6,881.16
silver,box,3,10,6,1888.2
bronze,cylinder,10,1,1,72.96
gold,box,10,4,6,4636.8
bronze,cylinder,10,3,3,656.67
silver,cylinder,7,4,4,922.75
gold,cylinder,6,7,7,4461.12
tin,box,5,10,10,3655.0
bronze,cylinder,6,7,7,2145.13
silver,cylinder,1,8,8,527.28
bronze,box,8,1,7,520.24
silver,box,8,4,3,1007.04
silver,box,9,2,8,1510.56
platinum,sphere,9,9,9,8050.13
bronze,sphere,3,3,3,131.33
tin,sphere,4,4,4,244.96
platinum,cylinder,7,2,2,463.79
tin,sphere,1,1,1,3.83
tin,box,9,7,7,3223.71
bronze,sphere,3,3,3,131.33
silver,cylinder,9,4,4,1186.39
platinum,sphere,7,7,7,3787.65
silver,sphere,10,10,10,5492.55
gold,cylinder,2,4,4,485.56
bronze,box,2,1,7,130.06
bronze,sphere,3,3,3,131.33
gold,sphere,5,5,5,1264.49
gold,sphere,5,5,5,1264.49
tin,cylinder,1,3,3,51.67
bronze,box,5,6,3,836.1
platinum,box,10,9,1,1898.1
platinum,box,3,4,10,2530.8
platinum,box,9,9,8,13666.32
silver,cylinder,2,7,7,807.41
tin,sphere,5,5,5,478.44
bronze,box,7,10,6,3901.8
silver,cylinder,1,7,7,403.7
bronze,box,9,3,8,2006.64
platinum,cylinder,8,7,7,6493.11
gold,box,8,2,5,1545.6
silver,box,1,6,9,566.46
bronze,cylinder,10,10,10,7296.35
silver,box,5,6,1,314.7
bronze,cylinder,3,5,5,547.23
silver,cylinder,7,9,9,4671.41
silver,box,1,1,1,10.49
gold,sphere,4,4,4,647.42
gold,cylinder,9,2,2,546.26
gold,box,5,3,2,579.6
gold,cylinder,8,8,8,7769.03
silver,box,6,1,2,125.88
bronze,box,5,5,4,929.0
platinum,box,7,8,8,9448.32
silver,sphere,7,7,7,1883.95
platinum,sphere,2,2,2,88.34
platinum,sphere,3,3,3,298.15
bronze,sphere,3,3,3,131.33
platinum,cylinder,1,10,10,1656.4
silver,sphere,8,8,8,2812.19
bronze,box,1,4,1,37.16
gold,box,9,8,8,11128.32
silver,box,9,2,8,1510.56
tin,cylinder,6,4,4,551.16
gold,cylinder,7,10,10,10621.72
tin,box,7,3,8,1228.08
gold,cylinder,2,9,9,2458.17
gold,cylinder,1,7,7,743.52
platinum,cylinder,4,10,10,6625.62
gold,sphere,6,6,6,2185.04
tin,cylinder,2,2,2,45.93
platinum,cylinder,10,1,1,165.64
platinum,box,8,1,3,506.16
platinum,cylinder,10,1,1,165.64
tin,cylinder,6,4,4,551.16
gold,cylinder,9,7,7,6691.69
bronze,box,8,10,9,6688.8
gold,box,9,4,8,5564.16
silver,sphere,3,3,3,148.3
gold,box,6,5,8,4636.8
gold,box,1,3,6,347.76
bronze,sphere,9,9,9,3546.03
gold,box,7,3,6,2434.32
bronze,box,7,4,3,780.36
bronze,sphere,5,5,5,608.03
tin,cylinder,4,1,1,22.97
platinum,cylinder,7,1,1,115.95
platinum,cylinder,10,2,2,662.56
bronze,box,4,4,4,594.56
gold,box,6,9,4,4173.12
platinum,sphere,3,3,3,298.15
tin,sphere,2,2,2,30.62
bronze,cylinder,3,8,8,1400.9
platinum,cylinder,5,3,3,745.38
bronze,cylinder,9,1,1,65.67
platinum,box,1,10,7,1476.3
bronze,box,8,8,7,4161.92
platinum,sphere,9,9,9,8050.13
silver,sphere,3,3,3,148.3
gold,box,10,5,1,966.0
bronze,box,7,2,5,650.3
gold,box,8,9,9,12519.36
bronze,cylinder,3,2,2,87.56
gold,sphere,5,5,5,1264.49
tin,box,9,2,7,921.06
platinum,cylinder,7,10,10,11594.83
gold,box,1,3,4,231.84
tin,cylinder,4,3,3,206.69
bronze,sphere,8,8,8,2490.49
platinum,sphere,1,1,1,11.04
bronze,sphere,8,8,8,2490.49
bronze,cylinder,7,2,2,204.3
bronze,box,9,8,4,2675.52
silver,cylinder,6,6,6,1779.59
platinum,cylinder,6,2,2,397.54
silver,cylinder,2,2,2,65.91
silver,sphere,4,4,4,351.52
gold,sphere,1,1,1,10.12
silver,sphere,3,3,3,148.3
gold,box,3,7,4,1622.88
gold,sphere,5,5,5,1264.49
bronze,cylinder,7,6,6,1838.68
gold,sphere,2,2,2,80.93
bronze,sphere,9,9,9,3546.03
gold,box,6,9,5,5216.4
gold,cylinder,3,2,2,182.09
tin,sphere,5,5,5,478.44
silver,sphere,3,3,3,148.3
tin,box,5,9,6,1973.7
platinum,cylinder,4,4,4,1060.1
platinum,box,1,6,8,1012.32
gold,sphere,4,4,4,647.42
gold,box,10,5,4,3864.0
platinum,box,5,2,10,2109.0
platinum,cylinder,1,10,10,1656.4
bronze,box,5,7,5,1625.75
bronze,sphere,10,10,10,4864.23
silver,cylinder,3,2,2,98.87
bronze,sphere,6,6,6,1050.67
silver,box,3,8,2,503.52
silver,cylinder,6,6,6,1779.59
gold,sphere,2,2,2,80.93
bronze,cylinder,6,6,6,1576.01
tin,box,7,1,1,51.17
bronze,sphere,6,6,6,1050.67
silver,box,3,6,4,755.28
tin,box,10,1,7,511.7
silver,sphere,9,9,9,4004.07
silver,sphere,10,10,10,5492.55
gold,cylinder,4,2,2,242.78
silver,sphere,3,3,3,148.3
platinum,box,7,7,9,9300.69
gold,sphere,3,3,3,273.13
silver,cylinder,1,10,10,823.88
gold,cylinder,8,6,6,4370.08
bronze,sphere,1,1,1,4.86
tin,sphere,5,5,5,478.44
gold,cylinder,5,1,1,75.87
tin,sphere,1,1,1,3.83
bronze,sphere,8,8,8,2490.49
tin,sphere,9,9,9,2790.25
gold,cylinder,5,7,7,3717.6
tin,box,10,6,7,3070.2
bronze,box,10,1,2,185.8
platinum,cylinder,7,10,10,11594.83
tin,sphere,10,10,10,3827.51
gold,box,8,6,8,7418.88
tin,sphere,10,10,10,3827.51
platinum,box,5,1,6,632.7
platinum,box,7,7,5,5167.05
tin,cylinder,1,2,2,22.97
gold,box,1,5,7,676.2
bronze,sphere,1,1,1,4.86
gold,sphere,8,8,8,5179.36
silver,box,10,9,4,3776.4
gold,box,8,6,6,5564.16
platinum,box,9,7,1,1328.67
bronze,box,1,1,3,27.87
silver,box,8,5,5,2098.0
bronze,cylinder,5,9,9,2955.02
gold,box,7,8,10,10819.2
platinum,box,9,8,3,4555.44
tin,sphere,8,8,8,1959.68
bronze,box,8,3,2,445.92
bronze,sphere,10,10,10,4864.23
platinum,cylinder,4,2,2,265.02
silver,sphere,9,9,9,4004.07
silver,box,4,7,5,1468.6
gold,box,7,6,3,2434.32
silver,box,9,5,10,4720.5
gold,sphere,4,4,4,647.42
platinum,sphere,2,2,2,88.34
silver,sphere,6,6,6,1186.39
tin,box,8,7,9,3684.24
platinum,box,8,4,9,6073.92
tin,sphere,1,1,1,3.83
platinum,sphere,1,1,1,11.04
silver,box,4,1,3,125.88
platinum,box,8,3,6,3036.96
bronze,cylinder,8,3,3,525.34
bronze,cylinder,10,4,4,1167.42
gold,cylinder,8,3,3,1092.52
gold,sphere,9,9,9,7374.51
platinum,cylinder,10,3,3,1490.76
tin,box,6,5,10,2193.0
platinum,cylinder,8,8,8,8480.79
silver,box,7,7,3,1542.03
platinum,sphere,7,7,7,3787.65
bronze,sphere,5,5,5,608.03
gold,sphere,5,5,5,1264.49
gold,box,9,8,7,9737.28
platinum,box,1,4,3,253.08
silver,sphere,10,10,10,5492.55
gold,sphere,8,8,8,5179.36
tin,box,3,4,3,263.16
silver,sphere,5,5,5,686.57
gold,box,7,8,4,4327.68
tin,sphere,2,2,2,30.62
tin,box,2,2,8,233.92
silver,box,6,6,7,2643.48
gold,cylinder,8,10,10,12139.11
bronze,cylinder,9,2,2,262.67
gold,box,9,4,3,2086.56
gold,cylinder,1,1,1,15.17
bronze,sphere,3,3,3,131.33
gold,cylinder,4,9,9,4916.34
platinum,box,9,7,1,1328.67
platinum,box,5,8,9,7592.4
gold,cylinder,3,7,7,2230.56
silver,sphere,10,10,10,5492.55
gold,box,7,6,5,4057.2
gold,box,4,6,1,463.68
bronze,box,5,4,1,185.8
gold,box,3,5,1,289.8
tin,box,9,2,6,789.48
bronze,cylinder,4,1,1,29.19
silver,sphere,8,8,8,2812.19
bronze,cylinder,1,1,1,7.3
tin,sphere,1,1,1,3.83
platinum,sphere,9,9,9,8050.13
silver,cylinder,8,10,10,6591.06
tin,cylinder,6,7,7,1687.93
tin,sphere,8,8,8,1959.68
silver,box,2,2,6,251.76
gold,sphere,1,1,1,10.12
platinum,sphere,2,2,2,88.34
silver,sphere,3,3,3,148.3
tin,cylinder,4,7,7,1125.29
platinum,cylinder,9,1,1,149.08
bronze,box,4,6,8,1783.68
bronze,sphere,1,1,1,4.86
bronze,cylinder,5,9,9,2955.02
platinum,box,1,1,10,210.9
platinum,cylinder,3,9,9,4025.06
platinum,box,1,2,5,210.9
gold,box,3,1,4,231.84
platinum,cylinder,5,6,6,2981.53
silver,cylinder,3,6,6,889.79
tin,box,9,6,4,1578.96
tin,box,3,5,7,767.55
bronze,box,6,5,1,278.7
gold,cylinder,9,8,8,8740.16
silver,sphere,9,9,9,4004.07
bronze,box,9,5,4,1672.2
platinum,sphere,8,8,8,5653.86
tin,sphere,2,2,2,30.62
platinum,box,4,9,10,7592.4
silver,sphere,7,7,7,1883.95
bronze,sphere,8,8,8,2490.49
tin,cylinder,7,7,7,1969.25
platinum,cylinder,2,7,7,1623.28
gold,box,6,3,6,2086.56
platinum,cylinder,8,10,10,13251.24
tin,cylinder,4,1,1,22.97
silver,cylinder,4,6,6,1186.39
bronze,cylinder,6,7,7,2145.13
silver,sphere,5,5,5,686.57
gold,cylinder,9,1,1,136.57
silver,box,1,4,4,167.84
bronze,sphere,5,5,5,608.03
gold,box,3,4,6,1391.04
gold,box,1,1,10,193.2
platinum,cylinder,10,6,6,5963.06
tin,sphere,4,4,4,244.96
silver,sphere,9,9,9,4004.07
silver,box,10,3,8,2517.6
tin,cylinder,10,2,2,229.65
tin,box,5,5,3,548.25
bronze,box,9,6,4,2006.64
silver,sphere,8,8,8,2812.19
tin,cylinder,4,7,7,1125.29
gold,cylinder,1,9,9,1229.09
silver,sphere,8,8,8,2812.19
silver,cylinder,10,2,2,329.55
gold,box,2,8,2,618.24
gold,cylinder,8,10,10,12139.11
bronze,cylinder,8,9,9,4728.03
silver,cylinder,9,2,2,296.6
bronze,box,7,7,4,1820.84
silver,sphere,3,3,3,148.3
silver,box,7,8,4,2349.76
platinum,box,5,6,8,5061.6
platinum,box,4,4,2,674.88
bronze,sphere,10,10,10,4864.23
bronze,box,5,1,7,325.15
platinum,cylinder,5,7,7,4058.19
platinum,cylinder,7,1,1,115.95
gold,cylinder,6,8,8,5826.77
tin,box,4,1,7,204.68
tin,cylinder,10,6,6,2066.85
silver,sphere,8,8,8,2812.19
silver,sphere,7,7,7,1883.95
silver,box,2,8,9,1510.56
bronze,sphere,6,6,6,1050.67
bronze,sphere,7,7,7,1668.43
platinum,sphere,1,1,1,11.04
silver,sphere,10,10,10,5492.55
bronze,cylinder,10,4,4,1167.42
silver,cylinder,7,6,6,2076.18
platinum,cylinder,1,9,9,1341.69
platinum,box,2,3,6,759.24
gold,sphere,10,10,10,10115.93
gold,cylinder,3,2,2,182.09
tin,box,5,5,8,1462.0
gold,cylinder,1,3,3,136.57
silver,sphere,10,10,10,5492.55
platinum,sphere,1,1,1,11.04
tin,sphere,3,3,3,103.34
gold,box,4,6,10,4636.8
tin,cylinder,7,3,3,361.7
bronze,sphere,5,5,5,608.03
gold,box,8,1,2,309.12
platinum,box,2,10,6,2530.8
silver,box,5,8,5,2098.0
silver,sphere,1,1,1,5.49
tin,cylinder,1,1,1,5.74
gold,box,1,6,5,579.6
silver,cylinder,4,6,6,1186.39
tin,box,1,9,6,394.74
silver,box,7,9,8,5286.96
tin,box,3,4,7,614.04
silver,box,2,9,1,188.82
silver,box,4,9,8,3021.12
tin,sphere,2,2,2,30.62
gold,sphere,5,5,5,1264.49
platinum,sphere,3,3,3,298.15
tin,box,3,8,3,526.32
silver,box,10,6,1,629.4
silver,cylinder,1,2,2,32.96
platinum,box,4,1,5,421.8
platinum,box,4,4,6,2024.64
silver,cylinder,8,8,8,4218.28
platinum,cylinder,9,7,7,7304.74
platinum,sphere,8,8,8,5653.86
platinum,sphere,5,5,5,1380.34
bronze,cylinder,5,5,5,912.04
bronze,cylinder,9,9,9,5319.04
tin,cylinder,8,6,6,1653.48
silver,box,7,10,5,3671.5
silver,box,5,9,6,2832.3
platinum,sphere,2,2,2,88.34
gold,cylinder,1,8,8,971.13
silver,box,7,9,2,1321.74
platinum,sphere,10,10,10,11042.7
bronze,box,8,1,9,668.88
bronze,sphere,10,10,10,4864.23
tin,sphere,1,1,1,3.83
bronze,cylinder,7,7,7,2502.65
platinum,sphere,5,5,5,1380.34
tin,sphere,5,5,5,478.44
platinum,sphere,8,8,8,5653.86
tin,cylinder,10,5,5,1435.32
bronze,box,7,1,8,520.24
platinum,box,5,9,5,4745.25
tin,box,10,6,8,3508.8
bronze,box,9,1,3,250.83
platinum,box,9,10,2,3796.2
bronze,sphere,5,5,5,608.03
bronze,cylinder,1,7,7,357.52
tin,box,9,1,6,394.74
tin,cylinder,2,7,7,562.64
bronze,sphere,9,9,9,3546.03
tin,cylinder,5,1,1,28.71
platinum,box,10,8,7,11810.4
bronze,cylinder,10,8,8,4669.66
bronze,sphere,6,6,6,1050.67
tin,cylinder,4,2,2,91.86
tin,box,3,7,10,1535.1
platinum,box,8,1,7,1181.04
silver,cylinder,10,1,1,82.39
bronze,box,8,7,8,4161.92
bronze,sphere,1,1,1,4.86
gold,cylinder,6,10,10,9104.34
bronze,cylinder,1,1,1,7.3
platinum,cylinder,5,7,7,4058.19
gold,cylinder,2,2,2,121.39
silver,box,7,1,3,220.29
bronze,cylinder,6,7,7,2145.13
silver,box,4,1,5,209.8
tin,sphere,8,8,8,1959.68
gold,cylinder,10,6,6,5462.6
tin,box,5,10,1,365.5
gold,box,9,1,3,521.64
bronze,box,8,4,9,2675.52
gold,cylinder,1,8,8,971.13
platinum,sphere,9,9,9,8050.13
gold,box,4,3,9,2086.56
bronze,box,3,5,3,418.05
tin,sphere,6,6,6,826.74
bronze,cylinder,5,10,10,3648.17
gold,box,1,8,10,1545.6
bronze,cylinder,10,2,2,291.85
bronze,sphere,4,4,4,311.31
platinum,box,2,1,3,126.54
platinum,cylinder,6,8,8,6360.59
silver,sphere,2,2,2,43.94
tin,box,10,5,10,3655.0
platinum,cylinder,1,3,3,149.08
platinum,box,10,5,2,2109.0
tin,cylinder,4,9,9,1860.17
silver,sphere,4,4,4,351.52
platinum,box,10,5,3,3163.5
platinum,sphere,1,1,1,11.04
bronze,cylinder,4,3,3,262.67
platinum,cylinder,10,1,1,165.64
gold,box,3,5,6,1738.8
bronze,box,9,6,8,4013.28
tin,sphere,6,6,6,826.74
gold,box,4,3,10,2318.4
bronze,box,9,6,4,2006.64
tin,box,1,2,4,58.48
gold,box,6,10,9,10432.8
silver,cylinder,9,3,3,667.34
platinum,box,9,3,5,2847.15
silver,cylinder,10,5,5,2059.71
bronze,cylinder,5,4,4,583.71
bronze,box,9,8,9,6019.92
bronze,box,9,6,5,2508.3
bronze,sphere,9,9,9,3546.03
platinum,box,10,4,8,6748.8
gold,sphere,1,1,1,10.12
tin,cylinder,7,1,1,40.19
bronze,cylinder,2,9,9,1182.01
gold,box,2,10,10,3864.0
silver,box,8,10,7,5874.4
platinum,box,1,9,5,949.05
tin,cylinder,4,10,10,2296.5
bronze,cylinder,10,3,3,656.67
bronze,cylinder,8,2,2,233.48
tin,cylinder,8,1,1,45.93
bronze,box,10,1,4,371.6
bronze,sphere,10,10,10,4864.23
platinum,box,5,2,8,1687.2
gold,box,1,8,6,927.36
gold,box,2,1,2,77.28
tin,box,2,10,4,584.8
gold,sphere,1,1,1,10.12
bronze,cylinder,7,9,9,4137.03
platinum,box,7,10,8,11810.4
tin,box,7,6,1,307.02
platinum,box,7,3,8,3543.12
tin,cylinder,1,7,7,281.32
silver,sphere,3,3,3,148.3
gold,box,7,9,3,3651.48
gold,box,4,2,2,309.12
gold,sphere,9,9,9,7374.51
bronze,sphere,4,4,4,311.31
bronze,box,2,5,8,743.2
silver,cylinder,2,2,2,65.91
gold,sphere,4,4,4,647.42
platinum,box,10,8,7,11810.4
tin,box,5,6,3,657.9
gold,sphere,9,9,9,7374.51
platinum,cylinder,10,6,6,5963.06
tin,box,2,9,10,1315.8
platinum,sphere,4,4,4,706.73
tin,sphere,6,6,6,826.74
platinum,sphere,3,3,3,298.15
bronze,cylinder,9,9,9,5319.04
bronze,cylinder,10,2,2,291.85
gold,cylinder,6,9,9,7374.51
silver,box,6,7,9,3965.22
bronze,sphere,6,6,6,1050.67
tin,sphere,10,10,10,3827.51
platinum,box,4,3,3,759.24
platinum,sphere,9,9,9,8050.13
platinum,sphere,1,1,1,11.04
bronze,cylinder,2,10,10,1459.27
tin,cylinder,4,5,5,574.13
tin,sphere,3,3,3,103.34
silver,cylinder,3,6,6,889.79
bronze,cylinder,9,3,3,591.0
gold,cylinder,7,7,7,5204.65
platinum,cylinder,4,3,3,596.31
platinum,box,3,1,5,316.35
bronze,sphere,6,6,6,1050.67
silver,box,2,7,4,587.44
gold,cylinder,3,8,8,2913.39
platinum,sphere,7,7,7,3787.65
platinum,cylinder,10,6,6,5963.06
bronze,box,1,1,3,27.87
gold,sphere,3,3,3,273.13
platinum,box,6,6,5,3796.2
silver,box,1,3,5,157.35
gold,sphere,1,1,1,10.12
silver,box,3,8,10,2517.6
tin,cylinder,1,9,9,465.04
gold,sphere,9,9,9,7374.51
silver,sphere,8,8,8,2812.19
bronze,box,6,8,1,445.92
gold,sphere,4,4,4,647.42
gold,sphere,9,9,9,7374.51
gold,box,3,4,1,231.84
silver,sphere,9,9,9,4004.07
tin,sphere,2,2,2,30.62
silver,sphere,9,9,9,4004.07
tin,box,5,9,10,3289.5
silver,sphere,4,4,4,351.52
bronze,sphere,4,4,4,311.31
bronze,cylinder,1,10,10,729.63
tin,sphere,4,4,4,244.96
tin,sphere,10,10,10,3827.51
gold,cylinder,3,7,7,2230.56
tin,cylinder,4,7,7,1125.29
gold,sphere,9,9,9,7374.51
gold,cylinder,5,9,9,6145.43
tin,cylinder,5,6,6,1033.43
tin,cylinder,2,8,8,734.88
tin,sphere,4,4,4,244.96
silver,sphere,2,2,2,43.94
tin,box,7,10,4,2046.8
bronze,sphere,2,2,2,38.91
gold,box,2,8,1,309.12
bronze,cylinder,4,4,4,466.97
silver,box,10,9,2,1888.2
silver,cylinder,7,8,8,3690.99
platinum,box,9,10,1,1898.1
silver,sphere,6,6,6,1186.39
gold,box,3,5,1,289.8
bronze,box,2,3,10,557.4
bronze,box,2,7,9,1170.54
gold,box,7,7,5,4733.4
bronze,cylinder,2,1,1,14.59
tin,box,10,2,2,292.4
silver,box,1,2,1,20.98
tin,sphere,1,1,1,3.83
platinum,sphere,5,5,5,1380.34
gold,cylinder,6,5,5,2276.08
silver,sphere,6,6,6,1186.39
tin,sphere,6,6,6,826.74
bronze,cylinder,10,7,7,3575.21
gold,cylinder,3,2,2,182.09
gold,sphere,4,4,4,647.42
platinum,sphere,3,3,3,298.15
bronze,cylinder,3,8,8,1400.9
gold,cylinder,5,9,9,6145.43
tin,cylinder,1,3,3,51.67
bronze,box,3,3,8,668.88
gold,box,2,4,3,463.68
bronze,cylinder,4,9,9,2364.02
gold,cylinder,10,7,7,7435.21
silver,cylinder,2,5,5,411.94
bronze,box,6,7,2,780.36
gold,box,2,3,2,231.84
silver,cylinder,3,2,2,98.87
platinum,sphere,7,7,7,3787.65
bronze,cylinder,6,7,7,2145.13
silver,sphere,7,7,7,1883.95
tin,sphere,6,6,6,826.74
platinum,sphere,7,7,7,3787.65
gold,sphere,3,3,3,273.13
gold,box,5,4,3,1159.2
platinum,cylinder,9,3,3,1341.69
gold,sphere,4,4,4,647.42
platinum,box,10,10,3,6327.0
gold,sphere,5,5,5,1264.49
bronze,cylinder,7,9,9,4137.03
silver,cylinder,10,10,10,8238.83
platinum,box,7,5,8,5905.2
platinum,box,9,10,3,5694.3
gold,sphere,4,4,4,647.42
gold,cylinder,4,8,8,3884.52
bronze,sphere,2,2,2,38.91
tin,box,4,2,8,467.84
tin,box,5,7,6,1535.1
gold,box,3,10,6,3477.6
tin,sphere,7,7,7,1312.83
platinum,box,3,1,9,569.43
gold,box,7,4,7,3786.72
tin,box,9,2,7,921.06
gold,sphere,8,8,8,5179.36
platinum,box,8,2,5,1687.2
silver,sphere,9,9,9,4004.07
tin,cylinder,6,3,3,310.03
tin,box,3,5,1,109.65
tin,cylinder,5,7,7,1406.61
bronze,cylinder,4,9,9,2364.02
bronze,sphere,5,5,5,608.03
gold,cylinder,3,10,10,4552.17
bronze,box,9,5,7,2926.35
platinum,sphere,6,6,6,2385.22
tin,sphere,3,3,3,103.34
platinum,box,8,10,5,8436.0
gold,box,3,6,6,2086.56
tin,box,5,3,6,657.9
tin,cylinder,8,10,10,4593.01
gold,cylinder,9,3,3,1229.09
platinum,sphere,8,8,8,5653.86
bronze,box,8,2,2,297.28
bronze,cylinder,8,8,8,3735.73
gold,sphere,2,2,2,80.93
platinum,cylinder,7,2,2,463.79
tin,cylinder,10,9,9,4650.42
bronze,box,4,3,5,557.4
silver,box,10,8,4,3356.8
platinum,cylinder,1,2,2,66.26
gold,cylinder,5,8,8,4855.65
gold,box,7,10,8,10819.2
bronze,box,1,10,8,743.2
tin,cylinder,7,6,6,1446.8
gold,box,8,6,4,3709.44
silver,cylinder,3,7,7,1211.11
bronze,box,9,3,4,1003.32
gold,cylinder,7,3,3,955.96
silver,box,3,8,7,1762.32
silver,sphere,4,4,4,351.52
bronze,cylinder,9,7,7,3217.69
silver,sphere,6,6,6,1186.39
bronze,box,9,4,3,1003.32
silver,cylinder,6,2,2,197.73
silver,cylinder,2,9,9,1334.69
tin,cylinder,8,1,1,45.93
gold,box,2,8,2,618.24
bronze,cylinder,5,7,7,1787.61
gold,sphere,10,10,10,10115.93
platinum,sphere,7,7,7,3787.65
bronze,sphere,9,9,9,3546.03
platinum,box,2,9,1,379.62
gold,sphere,4,4,4,647.42
silver,box,6,9,4,2265.84
tin,sphere,6,6,6,826.74
tin,sphere,6,6,6,826.74
bronze,cylinder,7,9,9,4137.03
silver,cylinder,6,3,3,444.9
tin,sphere,6,6,6,826.74
gold,cylinder,6,6,6,3277.56
bronze,sphere,9,9,9,3546.03
silver,box,2,6,2,251.76
silver,sphere,4,4,4,351.52
tin,sphere,3,3,3,103.34
platinum,box,9,3,4,2277.72
tin,sphere,2,2,2,30.62
silver,cylinder,1,5,5,205.97
silver,sphere,2,2,2,43.94
silver,box,7,3,1,220.29
bronze,box,10,2,2,371.6
platinum,sphere,3,3,3,298.15
tin,box,7,8,10,4093.6
platinum,box,4,7,2,1181.04
tin,box,5,3,6,657.9
gold,sphere,4,4,4,647.42
tin,cylinder,3,10,10,1722.38
tin,sphere,4,4,4,244.96
bronze,sphere,6,6,6,1050.67
tin,cylinder,7,6,6,1446.8
bronze,cylinder,3,8,8,1400.9
tin,sphere,2,2,2,30.62
tin,sphere,3,3,3,103.34
silver,sphere,3,3,3,148.3
gold,cylinder,10,3,3,1365.65
tin,cylinder,3,9,9,1395.13
tin,box,6,7,3,921.06
bronze,box,6,1,1,55.74
tin,sphere,1,1,1,3.83
bronze,cylinder,5,8,8,2334.83
tin,sphere,1,1,1,3.83
bronze,cylinder,7,5,5,1276.86
tin,box,5,1,7,255.85
silver,cylinder,1,10,10,823.88
silver,box,1,5,1,52.45
silver,cylinder,2,1,1,16.48
bronze,cylinder,9,8,8,4202.7
silver,cylinder,9,6,6,2669.38
gold,sphere,1,1,1,10.12
platinum,cylinder,6,2,2,397.54
bronze,sphere,3,3,3,131.33
gold,sphere,5,5,5,1264.49
tin,box,9,8,10,5263.2
bronze,box,3,6,4,668.88
platinum,cylinder,7,6,6,4174.14
bronze,cylinder,1,2,2,29.19
platinum,sphere,6,6,6,2385.22
silver,cylinder,8,10,10,6591.06
tin,sphere,5,5,5,478.44
platinum,sphere,9,9,9,8050.13
platinum,box,5,7,4,2952.6
silver,sphere,1,1,1,5.49
silver,cylinder,3,7,7,1211.11
tin,cylinder,8,5,5,1148.25
tin,box,10,7,5,2558.5
gold,cylinder,1,10,10,1517.39
silver,sphere,7,7,7,1883.95
tin,cylinder,7,9,9,3255.29
silver,sphere,7,7,7,1883.95
bronze,box,6,9,5,2508.3
bronze,sphere,3,3,3,131.33
silver,sphere,5,5,5,686.57
silver,sphere,1,1,1,5.49
silver,box,10,5,9,4720.5
bronze,sphere,3,3,3,131.33
bronze,sphere,2,2,2,38.91
gold,box,9,1,8,1391.04
silver,box,1,6,1,62.94
bronze,box,4,1,2,74.32
platinum,sphere,5,5,5,1380.34
tin,sphere,6,6,6,826.74
tin,sphere,3,3,3,103.34
bronze,cylinder,3,8,8,1400.9
gold,cylinder,6,5,5,2276.08
tin,cylinder,4,7,7,1125.29
platinum,sphere,8,8,8,5653.86
bronze,box,3,4,10,1114.8
platinum,cylinder,3,10,10,4969.21
silver,box,10,9,3,2832.3
platinum,sphere,2,2,2,88.34
platinum,box,1,7,2,295.26
gold,cylinder,3,1,1,45.52
platinum,sphere,5,5,5,1380.34
platinum,cylinder,9,5,5,3726.91
gold,sphere,5,5,5,1264.49
platinum,sphere,2,2,2,88.34
silver,box,2,2,7,293.72
tin,cylinder,6,8,8,2204.64
bronze,box,8,10,5,3716.0
silver,cylinder,2,3,3,148.3
tin,cylinder,10,6,6,2066.85
bronze,sphere,6,6,6,1050.67
bronze,box,10,2,7,1300.6
tin,cylinder,1,8,8,367.44
platinum,sphere,5,5,5,1380.34
platinum,cylinder,5,2,2,331.28
platinum,box,7,2,1,295.26
tin,box,2,9,7,921.06
bronze,cylinder,4,7,7,1430.08
platinum,sphere,4,4,4,706.73
silver,cylinder,5,3,3,370.75
tin,box,3,10,2,438.6
silver,cylinder,2,2,2,65.91
gold,box,9,1,4,695.52
platinum,box,5,1,1,105.45
bronze,box,2,8,4,594.56
platinum,box,8,6,4,4049.28
platinum,box,1,3,5,316.35
silver,sphere,8,8,8,2812.19
tin,sphere,5,5,5,478.44
tin,box,2,5,2,146.2
platinum,cylinder,3,7,7,2434.91
gold,sphere,9,9,9,7374.51
gold,cylinder,7,1,1,106.22
bronze,sphere,10,10,10,4864.23
platinum,box,4,8,3,2024.64
platinum,box,1,2,6,253.08
platinum,cylinder,4,5,5,1656.4
bronze,box,5,10,7,3251.5
bronze,cylinder,5,3,3,328.34
bronze,box,3,10,4,1114.8
gold,box,9,6,8,8346.24
silver,cylinder,1,8,8,527.28
gold,box,8,2,2,618.24
silver,box,8,8,6,4028.16
bronze,box,2,5,4,371.6
tin,box,1,9,7,460.53
gold,box,2,1,7,270.48
gold,cylinder,5,3,3,682.83
platinum,box,8,1,2,337.44
tin,box,4,1,1,29.24
tin,box,10,6,5,2193.0
silver,cylinder,3,2,2,98.87
tin,box,9,8,6,3157.92
